,ranker,player,pos,age,team_id,g,gs,mp,fg_per_mp,fga_per_mp,fg_pct,fg3_per_mp,fg3a_per_mp,fg3_pct,fg2_per_mp,fg2a_per_mp,fg2_pct,ft_per_mp,fta_per_mp,ft_pct,orb_per_mp,drb_per_mp,trb_per_mp,ast_per_mp,stl_per_mp,blk_per_mp,tov_per_mp,pf_per_mp,pts_per_mp,player_link,team_id_link
440,417,Edmond Sumner,PG,24,IND,10,2,151,4.3,10.7,.400,1.0,3.6,.267,3.3,7.2,.467,1.0,1.7,.571,1.7,2.1,3.8,4.3,1.9,1.0,1.4,4.1,10.5,/players/s/sumneed01.html,/teams/IND/2020.html
441,418,Caleb Swanigan,PF,22,SAC,5,0,13,2.8,5.5,.500,0.0,0.0,,2.8,5.5,.500,2.8,5.5,.500,2.8,11.1,13.8,0.0,2.8,5.5,11.1,8.3,8.3,/players/s/swanica01.html,/teams/SAC/2020.html
442,419,Jayson Tatum,PF,21,BOS,30,30,1024,8.1,19.3,.420,2.6,7.2,.359,5.5,12.1,.456,3.6,4.2,.842,1.3,6.1,7.3,3.1,1.4,0.8,2.4,2.4,22.4,/players/t/tatumja01.html,/teams/BOS/2020.html
443,420,Jeff Teague,PG,31,MIN,27,13,793,5.5,12.3,.452,1.3,3.4,.378,4.3,8.9,.480,5.1,5.9,.862,0.6,2.9,3.5,7.9,1.0,0.5,2.8,2.6,17.4,/players/t/teaguje01.html,/teams/MIN/2020.html
445,421,Garrett Temple,SG,33,BRK,31,22,903,4.6,12.0,.383,2.6,8.0,.328,2.0,3.9,.495,1.2,1.6,.756,0.7,3.5,4.2,3.1,1.1,0.6,1.4,2.3,13.0,/players/t/templga01.html,/teams/BRK/2020.html
446,422,Daniel Theis,C,27,BOS,27,26,581,4.8,9.0,.538,0.6,1.7,.321,4.3,7.2,.590,1.6,2.3,.703,2.7,7.5,10.2,2.4,0.8,2.5,1.4,5.5,11.8,/players/t/theisda01.html,/teams/BOS/2020.html
447,423,Isaiah Thomas,PG,30,WAS,22,19,561,7.1,16.4,.430,3.1,7.3,.425,4.0,9.2,.434,2.4,2.9,.844,0.3,2.2,2.6,6.7,0.6,0.3,3.0,3.0,19.6,/players/t/thomais02.html,/teams/WAS/2020.html
448,424,Khyri Thomas,SG,23,DET,2,0,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,6.0,12.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,/players/t/thomakh01.html,/teams/DET/2020.html
449,425,Matt Thomas,SG,25,TOR,12,0,136,5.3,9.8,.541,3.7,6.9,.538,1.6,2.9,.545,0.8,1.3,.600,0.3,3.2,3.4,1.1,1.1,0.0,1.1,3.2,15.1,/players/t/thomama02.html,/teams/TOR/2020.html
450,426,Tristan Thompson,C,28,CLE,31,31,972,6.3,12.4,.503,0.1,0.3,.429,6.1,12.2,.505,2.1,3.6,.577,4.6,7.0,11.6,2.6,0.9,1.1,2.1,2.6,14.7,/players/t/thomptr01.html,/teams/CLE/2020.html
